Layer,Name,GEOID,Population,Longitude,Latitude,UMP_2018-2022,EDX_2018-2022,HDX_2018-2022,INC_2018-2022,PCI_2018-2022,POV_2018-2022
,,,,,,"Unemployment rate (%), 2018-2022","Economic Diversity Index, 2018-2022","Hardship Index (score), 2018-2022","Median household income, 2018-2022","Per capita income, 2018-2022","Poverty rate (% of residents), 2018-2022"
Census tract,Tract 319,17031031900,2522,-87.67018410,41.96337400,1.4634146341463417,0.4675175754458162,0.927885972,86066.11894673794,64184.6536081102,1.779064956557716
Census tract,Tract 321,17031032100,7543,-87.65301790,41.95815380,5.421353494375807,0.651327002678354,41.86541537,63554.72707912775,48466.74886310699,16.860546601261387
Census tract,Tract 401,17031040100,3905,-87.68288560,41.98562230,1.407884151246983,0.5098679148608041,4.09375294,85802.04494332171,64182.81976086426,7.356737222509034
Census tract,Tract 402.01,17031040201,6408,-87.69400050,41.97258040,5.223068552774755,0.6803478142610646,9.370589896,91347.59901506244,47806.563854566426,4.02634336177219
Census tract,Tract 402.02,17031040202,7318,-87.69409600,41.97985490,10.581289736603088,0.8216265427747028,82.89585097,53450.22875396526,26771.419019942765,19.515633008713483
Census tract,Tract 403,17031040300,2928,-87.70198320,41.97694370,10.354857475276322,0.7259669622107674,66.54200771,79753.09980256882,39831.16218194725,13.68846931894808
Census tract,Tract 404.01,17031040401,3129,-87.68608160,41.97206670,3.0967127203430205,0.6826520010270205,6.347022297,98186.93231881807,64753.146254353465,4.4749926879204445
Census tract,Tract 404.02,17031040402,4746,-87.67881810,41.97254500,5.990656773838967,0.4992632244513032,3.823266535,86311.85447769471,61473.31045497903,7.136602451838879
Census tract,Tract 406,17031040600,2530,-87.68401800,41.96683380,2.45074483421432,0.5081748980147442,2.402624894,89488.07790767319,71024.9038354888,8.07899461400359
Census tract,Tract 407,17031040700,3426,-87.69406820,41.96743140,6.344294003868472,0.4869518872653211,15.76582933,96643.7498613545,57990.83453492757,8.744635193133048
Census tract,Tract 408,17031040800,1636,-87.69182130,41.96397400,3.0,0.4823113110729796,1.22424499,96735.4422236518,65521.52825040484,4.835589941972921
Census tract,Tract 409,17031040900,2063,-87.68385440,41.96318470,6.770833333333333,0.3867689979461679,3.014159375,73173.25588411455,70773.66676279421,4.536390827517447
Census tract,Tract 501,17031050100,2568,-87.67637300,41.95784510,3.543098889476468,0.2129494963211251,1.053720952,113633.42767142128,73699.57004370105,4.257859132510943
Census tract,Tract 502,17031050200,5309,-87.68371680,41.95774050,4.349280695884912,0.5028677055244131,11.191081,127036.10026841766,76217.44231238493,5.427335016227912
Census tract,Tract 503,17031050300,2671,-87.69044420,41.95788510,2.3702031602708806,0.4030314365706997,2.174475492,150031.6278089576,75746.14357017679,4.577714691270404
Census tract,Tract 505,17031050500,5117,-87.68350730,41.95044740,2.4366471734892787,0.3501373141849333,1.365368332,130705.62860755561,80336.26322677964,1.854355804519992
Census tract,Tract 506,17031050600,2443,-87.67618240,41.95054770,3.9365079365079367,0.3463832204146212,0.742073572,100117.05654517624,89448.65019188535,4.704301075268817
Census tract,Tract 507,17031050700,1513,-87.67605950,41.94507100,5.123339658444023,0.2809077851192185,5.019286857,115017.06541848753,78844.42849220257,9.546703296703296
Census tract,Tract 508,17031050800,1406,-87.68092790,41.94500950,3.99529964747356,0.2712490428359082,4.412456487,158525.09132855653,81259.60531511347,0.7153075822603719
Census tract,Tract 509,17031050900,1426,-87.68577800,41.94494660,1.0895883777239708,0.4035152835813748,0.981983253,119905.18525255662,79577.96739058098,2.23342939481268
Census tract,Tract 510,17031051000,1538,-87.68573170,41.94130240,2.2461814914645104,0.3456867019620055,0.627998871,165504.71394662702,91738.20847844894,3.397773872290568
Census tract,Tract 511,17031051100,1599,-87.68082660,41.94136520,3.0560271646859083,0.46966552734375,5.510866497,145923.80997803854,71397.17482641584,7.769028871391076
Census tract,Tract 512,17031051200,1581,-87.67595360,41.94142240,5.029585798816568,0.346112230319044,1.3006868,152916.26952683067,88021.91703453936,6.042496679946879
Census tract,Tract 513,17031051300,2907,-87.67583950,41.93599710,5.454545454545454,0.390634435372744,2.115674099,200258.87002817277,89260.68084917589,1.9824504387390316
Census tract,Tract 514,17031051400,2492,-87.68095940,41.93544200,4.633204633204633,0.3530273710584892,6.636325148,141246.58257725326,76485.18401029304,10.09861932938856
Census tract,Tract 601,17031060100,2830,-87.66661120,41.95753110,1.830776843146957,0.425522359113597,1.520604008,124034.09232680405,92294.78111759355,2.800503461296413
Census tract,Tract 602,17031060200,2313,-87.67151750,41.95790360,4.192740926157698,0.5082032252794697,4.306613981,81759.32868963375,81583.27935402293,7.871448532836515
Census tract,Tract 603,17031060300,3076,-87.67133270,41.95060490,2.689352360043908,0.3700496817510833,0.673863957,128483.92266909203,81484.25160274185,3.934774902516838
Census tract,Tract 604,17031060400,3709,-87.66653640,41.95067310,4.050334250884782,0.1383852460552047,1.792266441,148551.71308147916,82706.51079216486,2.8265642151481885
Census tract,Tract 605,17031060500,1374,-87.66050080,41.95272000,4.066265060240964,0.3190081973865758,49.80360335,49743.10654628541,79643.06896781205,27.03962703962704
Census tract,Tract 608,17031060800,5295,-87.64264890,41.95395900,3.0179640718562872,0.6690232231026506,2.44848998,74413.85354599703,65219.86037844672,7.106598984771575
Census tract,Tract 609,17031060900,7104,-87.64177840,41.95151660,7.169669669669669,0.6530632383980702,8.921347258,76655.73180416602,66481.54728365758,7.388736857266312
Census tract,Tract 610,17031061000,2279,-87.65197030,41.94922060,3.70566437268396,0.293249274367217,5.49322608,117248.85751680382,70728.73750526852,15.275387263339072
Census tract,Tract 611,17031061100,1367,-87.65680350,41.94913980,0.7234726688102894,0.528595041322314,0.217565152,99172.62521351405,65659.98371747376,5.571030640668524
Census tract,Tract 612,17031061200,1932,-87.66164270,41.94905990,1.095360824742268,0.4103225806451612,0.874964719,100383.88131946139,79091.99787040528,7.066276803118908
Census tract,Tract 615,17031061500,1797,-87.66154470,41.94528180,1.603592046183451,0.4767506453615658,0.545676922,121950.84185540938,75495.82342110516,7.26643598615917
Census tract,Tract 618,17031061800,1051,-87.64711470,41.94649010,8.87185104052574,0.3616571383820189,22.05052216,63496.96089088045,42098.714301559485,13.818181818181818
Census tract,Tract 619.01,17031061901,3625,-87.64346790,41.94323050,3.9914163090128754,0.564893976355789,17.82270204,56448.56900108698,61002.01171277091,20.55729314756895
Census tract,Tract 619.02,17031061902,4665,-87.63906450,41.94669850,4.9545587804163,0.4431127431441327,2.880092201,79593.55509217152,72427.7969786375,7.391656541109761
Census tract,Tract 620,17031062000,2843,-87.64707860,41.94257690,1.354679802955665,0.2999857966074183,0.222269263,101090.82943277356,71784.11659531045,5.294117647058823
Census tract,Tract 621,17031062100,3817,-87.65177040,41.94269140,3.518873960332693,0.4804500446392339,0.787938658,90969.82648239756,79294.63799108232,8.447613823368075
Census tract,Tract 622,17031062200,3244,-87.65664400,41.94258470,4.386353566681436,0.2386098793979553,2.577853044,181856.21291510458,96599.7375274518,7.677664974619288
Census tract,Tract 623,17031062300,1667,-87.66144320,41.94162780,0.592885375494071,0.0543933851547021,0.068209615,208829.3551321014,122646.78688524589,4.2883778744561845
Census tract,Tract 624,17031062400,1673,-87.66628820,41.94155560,4.265791632485644,0.2539988309065789,1.08782576,149000.08873311296,98295.12930632889,4.780433574207893
